price_realty,want_to_loan,time_debit,fixed_interest,repayment,bank_margin
2180000,1430000,28,5,5915,557440
2180000,1430000,29,5,5774,579352
2180000,1430000,30,5,5643,601480
2180000,1480000,5,5,26260,95600
2180000,1480000,6,5,22151,114872
2180000,1480000,7,5,19217,134228
2180000,1480000,8,5,17019,153824
2180000,1480000,9,5,15311,173588
2180000,1480000,10,5,13945,193400
2180000,1480000,11,5,12829,213428
2180000,1480000,12,5,11900,233600
2180000,1480000,13,5,11115,253940
2180000,1480000,14,5,10443,274424
2180000,1480000,15,5,9862,295160
2180000,1480000,16,5,9353,315776
2180000,1480000,17,5,8906,336824
2180000,1480000,18,5,8509,357944
2180000,1480000,19,5,8154,379112
2180000,1480000,20,5,7835,400400
2180000,1480000,21,5,7548,422096
2180000,1480000,22,5,7287,443768
2180000,1480000,23,5,7049,465524
2180000,1480000,24,5,6832,487616
2180000,1480000,25,5,6632,509600
2180000,1480000,26,5,6448,531776
2180000,1480000,27,5,6279,554396
2180000,1480000,28,5,6122,576992
2180000,1480000,29,5,5976,599648
2180000,1480000,30,5,5840,622400
2180000,1530000,5,5,27214,102840
2180000,1530000,6,5,22967,123624
2180000,1530000,7,5,19935,144540
2180000,1530000,8,5,17663,165648
2180000,1530000,9,5,15897,186876
2180000,1530000,10,5,14486,208320
2180000,1530000,11,5,13333,229956
2180000,1530000,12,5,12373,251712
2180000,1530000,13,5,11562,273672
2180000,1530000,14,5,10868,295824
2180000,1530000,15,5,10267,318060
2180000,1530000,16,5,9742,340464
2180000,1530000,17,5,9280,363120
2180000,1530000,18,5,8870,385920
2180000,1530000,19,5,8504,408912
2180000,1530000,20,5,8175,432000
2180000,1530000,21,5,7878,455256
2180000,1530000,22,5,7609,478776
2180000,1530000,23,5,7363,502188
2180000,1530000,24,5,7139,526032
2180000,1530000,25,5,6933,549900
2180000,1530000,26,5,6744,574128
2180000,1530000,27,5,6569,598356
2180000,1530000,28,5,6407,622752
2180000,1530000,29,5,6257,647436
2180000,1530000,30,5,6117,672120
2180000,1580000,5,5,28104,106240
2180000,1580000,6,5,23717,127624
2180000,1580000,7,5,20586,149224
2180000,1580000,8,5,18240,171040
2180000,1580000,9,5,16417,193036
2180000,1580000,10,5,14959,215080
2180000,1580000,11,5,13768,237376
2180000,1580000,12,5,12777,259888
2180000,1580000,13,5,11940,282640
2180000,1580000,14,5,11223,305464
2180000,1580000,15,5,10602,328360
2180000,1580000,16,5,10060,351520
2180000,1580000,17,5,9583,374932
2180000,1580000,18,5,9160,398560
2180000,1580000,19,5,8782,422296
2180000,1580000,20,5,8442,446080
2180000,1580000,21,5,8135,470020
2180000,1580000,22,5,7857,494248
2180000,1580000,23,5,7604,518704
2180000,1580000,24,5,7372,543136
2180000,1580000,25,5,7160,568000
2180000,1580000,26,5,6964,592768
2180000,1580000,27,5,6784,618016
2180000,1580000,28,5,6617,643312
2180000,1580000,29,5,6461,668428
2180000,1580000,30,5,6317,694120
2180000,1630000,5,5,28993,109580
2180000,1630000,6,5,24468,131696
2180000,1630000,7,5,21238,153992
2180000,1630000,8,5,18817,176432
2180000,1630000,9,5,16936,199088
2180000,1630000,10,5,15433,221960
2180000,1630000,11,5,14204,244928
2180000,1630000,12,5,13182,268208
2180000,1630000,13,5,12317,291452
2180000,1630000,14,5,11578,315104
2180000,1630000,15,5,10938,338840
2180000,1630000,16,5,10379,362768
2180000,1630000,17,5,9886,386744
2180000,1630000,18,5,9450,411200
2180000,1630000,19,5,9059,435452
2180000,1630000,20,5,8709,460160
2180000,1630000,21,5,8393,485036
2180000,1630000,22,5,8106,509984
2180000,1630000,23,5,7845,535220
2180000,1630000,24,5,7606,560528
2180000,1630000,25,5,7387,586100
2180000,1630000,26,5,7185,611720
2180000,1630000,27,5,6998,637352
2180000,1630000,28,5,6826,663536
2180000,1630000,29,5,6666,689768
2180000,1630000,30,5,6517,716120
2180000,1680000,5,5,29882,112920
2180000,1680000,6,5,25218,135696
2180000,1680000,7,5,21889,158676
2180000,1680000,8,5,19394,181824
2180000,1680000,9,5,17456,205248
2180000,1680000,10,5,15906,228720
2180000,1680000,11,5,14640,252480
2180000,1680000,12,5,13586,276384
2180000,1680000,13,5,12695,300420
2180000,1680000,14,5,11933,324744
2180000,1680000,15,5,11273,349140
2180000,1680000,16,5,10697,373824
2180000,1680000,17,5,10190,398760
2180000,1680000,18,5,9739,423624
2180000,1680000,19,5,9337,448836
2180000,1680000,20,5,8976,474240
2180000,1680000,21,5,8650,499800
2180000,1680000,22,5,8355,525720
2180000,1680000,23,5,8085,551460
2180000,1680000,24,5,7839,577632
2180000,1680000,25,5,7613,603900
2180000,1680000,26,5,7405,630360
2180000,1680000,27,5,7213,657012
2180000,1680000,28,5,7035,683760
2180000,1680000,29,5,6870,710760
2180000,1680000,30,5,6717,738120
